image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,1,0.760882,car,car,True
drive_022,2,3,0.777684,car,car,True
drive_022,3,5,0.780529,truck,bus,False
drive_022,4,4,0.810671,car,car,True
drive_022,5,2,0.887051,bus,van,False
drive_033,1,2,0.805569,truck,bus,False
drive_033,5,11,0.894529,car,car,True
drive_033,6,10,0.805923,car,car,True
drive_033,7,3,0.755495,car,car,True
drive_033,8,4,0.717044,car,car,True
drive_033,10,7,0.815442,car,car,True
drive_033,11,5,0.719439,car,car,True
drive_033,12,1,0.970024,bus,van,False
drive_033,15,9,0.903385,car,car,True
drive_038,2,6,0.845717,van,car,False
drive_038,3,14,0.727393,car,car,True
drive_038,4,3,0.897818,car,car,True
drive_038,7,2,0.924104,car,car,True
drive_038,9,15,0.926581,van,truck,False
drive_038,11,9,0.879864,truck,bus,False
drive_038,12,8,0.897405,car,car,True
drive_038,13,7,0.85534,car,car,True
drive_038,14,13,0.83451,car,car,True
drive_008,1,16,0.851498,car,car,True
drive_008,2,11,0.802357,car,car,True
drive_008,3,6,0.801026,car,car,True
drive_008,4,3,0.880857,car,truck,False
drive_008,5,2,0.883052,car,car,True
drive_008,6,12,0.825071,van,truck,False
drive_008,7,4,0.805126,car,car,True
drive_008,12,1,0.7891,truck,bus,False
drive_008,13,9,0.933832,bus,van,False
